247,255,254,255,255,240,255,255,255,255,253,244,255,249,250,254,255,229,255,249,246,255,233,252,251,240,255,250,245,255,236,252,255,245,255,255,248,247,255,255,238,250,255,255,255,255,255,255,255,255,245,255,230,255,238,255,248,254,255,236,255,239,249,255,254,250,241,252,246,241,255,248,250,245,255,237,255,244,255,251,255,255,230,255,227,255,241,242,255,255,248,247,252,249,248,249,245,255,246,252,250,239,255,242,238,255,241,240,255,255,241,255,241,253,255,241,255,255,230,255,255,228,255,247,255,250,237,255,247,255,255,253,252,246,251,255,253,6,0,34,0,0,7,9,231,255,254,222,255,7,255,243,255,251,248,255,0,9,5,0,4,0,6,0,7,13,0,1,255,221,255,255,244,0,7,0,0,4,0,8,0,9,1,5,0,8,2,4,0,0,14,1,252,255,254,254,255,0,4,0,6,0,25,0,17,6,0,0,5,0,9,16,0,0,8,0,252,255,254,254,255,0,4,0,19,0,0,41,0,0,21,6,5,1,0,0,5,0,11,3,252,255,254,254,255,0,4,0,0,28,17,0,25,0,6,4,255,234,255,242,14,9,7,0,252,255,254,254,255,0,4,0,4,0,0,255,255,255,243,246,242,255,231,249,254,7,0,10,252,255,254,254,255,0,4,0,0,12,254,253,252,239,255,255,253,255,243,255,242,16,0,12,252,255,254,254,255,0,4,0,4,0,255,255,248,255,242,255,253,253,255,255,227,255,3,0,252,255,254,254,255,0,4,0,0,255,253,254,246,251,255,251,255,248,242,246,255,253,5,0,252,255,254,254,255,0,4,0,13,230,255,233,255,251,245,255,255,240,255,244,245,255,0,12,252,255,254,254,255,0,4,0,0,255,252,255,255,252,255,255,253,250,248,240,255,240,1,13,252,255,254,254,255,0,4,0,0,255,252,255,255,252,255,255,254,255,255,234,252,228,39,0,252,255,254,254,255,0,4,0,0,255,252,255,255,252,255,255,253,240,246,251,253,255,0,13,252,255,254,254,255,0,4,0,0,255,252,255,255,252,255,255,250,254,255,255,237,246,20,3,252,255,254,254,255,0,4,0,0,255,252,255,255,252,255,255,252,255,241,245,254,247,255,0,252,255,254,254,255,0,4,0,0,255,252,255,255,252,255,255,255,255,241,254,255,235,252,3,252,255,254,254,255,0,4,0,0,255,252,255,255,252,255,255,244,254,255,255,242,255,247,255,252,255,254,254,255,0,4,0,0,255,252,255,255,252,255,255,254,248,254,242,250,255,251,254,5
240,255,255,255,249,248,255,240,255,255,241,252,255,252,253,236,254,254,254,254,254,254,254,254,249,255,249,248,255,251,251,255,255,234,255,247,255,232,255,255,254,254,254,254,254,254,254,254,254,246,247,247,255,255,234,232,255,237,255,254,244,255,235,244,255,255,255,255,255,255,255,255,249,245,255,254,232,253,255,255,243,255,247,241,252,253,251,249,255,255,255,255,255,255,255,255,255,248,254,250,249,255,251,247,254,255,255,255,255,0,9,13,0,0,0,0,0,0,0,0,253,255,235,246,255,248,243,252,255,252,255,0,0,16,0,4,0,0,0,0,0,0,0,0,240,255,250,255,239,234,255,237,0,38,0,8,6,16,13,0,0,0,0,0,0,0,0,0,255,249,234,255,246,255,235,12,10,1,0,19,0,0,0,7,0,0,0,0,0,0,0,0,252,255,254,254,255,0,4,0,0,0,11,0,31,0,15,9,3,3,3,3,3,3,3,3,252,255,254,254,255,0,4,0,5,8,15,19,1,10,0,0,0,0,0,0,0,0,0,0,252,255,254,254,255,0,4,0,0,0,0,15,1,0,12,13,255,255,255,255,255,255,255,255,252,255,254,254,255,0,4,0,0,17,2,0,14,17,253,244,255,255,255,255,255,255,255,255,252,255,254,254,255,0,4,0,6,0,3,9,0,243,246,255,250,250,250,250,250,250,250,250,252,255,254,254,255,0,4,0,8,0,6,14,255,248,255,253,255,255,255,255,255,255,255,255,252,255,254,254,255,0,4,0,0,18,0,0,255,250,255,243,253,253,253,253,253,253,253,253,252,255,254,254,255,0,4,0,9,0,34,253,246,255,239,255,255,255,255,255,255,255,255,255,252,255,254,254,255,0,4,0,0,13,0,237,255,255,254,252,255,255,255,255,255,255,255,255,252,255,254,254,255,0,4,0,20,0,255,255,231,252,248,255,255,255,255,255,255,255,255,255,252,255,254,254,255,0,4,0,0,17,244,246,255,255,253,255,255,255,255,255,255,255,255,255,252,255,254,254,255,0,4,0,13,0,242,244,235,250,254,250,255,255,255,255,255,255,255,255,252,255,254,254,255,0,4,0,1,0,255,255,255,233,255,251,255,255,255,255,255,255,255,255,252,255,254,254,255,0,4,0,9,2,10,234,255,246,255,236,255,255,255,255,255,255,255,255,252,255,254,254,255,0,4,0,3,0,0,255,240,255,241,255,255,255,255,255,255,255,255,255,252,255,254,254,255,0,4,0,0,7,7,0,255,242,255,249,255,255,255,255,255,255,255,255,0
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,236,255,240,250,249,252,251,254,255,252,255,247,253,255,246,255,255,255,255,255,255,255,255,241,255,242,255,242,255,250,255,255,252,247,217,255,249,240,255,255,255,255,255,255,255,255,255,255,247,255,236,246,255,249,255,255,237,255,255,237,6,0,9,255,255,255,255,255,255,255,255,254,255,240,231,255,231,255,246,247,255,240,244,0,13,1,0,255,255,255,255,255,255,255,255,243,248,245,255,248,255,249,251,255,246,255,0,16,0,5,4,255,255,255,255,255,255,255,255,249,255,242,254,255,227,232,255,0,0,3,6,16,4,0,2,255,255,255,255,255,255,255,255,245,255,240,255,251,250,255,0,0,15,0,2,2,1,31,0,255,255,255,255,255,255,255,255,255,236,255,231,255,239,0,4,0,2,4,16,0,255,238,253,255,248,247,255,225,255,229,255,255,251,250,250,0,29,0,0,0,8,0,9,245,254,247,255,255,255,255,255,251,255,239,240,250,255,3,0,6,0,12,1,10,2,0,2,251,255,250,242,243,255,255,235,255,234,255,255,255,4,0,10,5,18,0,13,4,0,5,0,255,253,255,254,255,245,255,255,235,6,1,0,21,0,13,0,0,0,18,0,0,0,5,0,255,248,255,255,243,246,255,255,255,0,13,0,5,0,19,14,0,0,7,7,2,6,5,0,255,253,252,255,255,243,246,253,255,0,2,3,0,0,0,1,1,19,0,6,9,1,0,17,244,255,255,251,247,251,254,236,254,11,10,0,11,13,7,0,0,13,0,0,0,5,19,0,15,0,0,16,255,251,255,252,255,2,0,11,0,4,0,13,25,0,22,0,16,0,8,9,2,4,17,0,4
251,255,240,250,255,238,255,233,255,252,255,252,250,255,255,255,255,234,255,251,250,247,253,255,251,249,252,255,255,255,240,255,247,230,253,252,243,255,253,250,236,255,238,255,255,255,255,247,255,255,245,255,240,255,251,251,235,255,232,246,255,233,250,247,254,255,253,246,251,252,254,255,245,254,246,255,255,249,255,250,247,248,253,255,247,247,255,255,255,239,254,247,254,252,245,253,255,242,255,227,255,249,235,254,255,223,30,0,19,0,19,4,252,250,255,233,252,255,255,255,254,251,242,255,231,255,255,0,15,0,3,7,7,14,6,0,0,255,238,255,245,255,243,255,251,241,255,254,253,251,3,13,0,18,0,0,3,0,2,9,8,0,251,231,255,244,245,255,248,255,223,255,248,255,0,8,13,0,12,7,0,10,0,0,1,241,255,254,240,255,250,254,255,238,255,218,255,0,6,3,0,10,0,3,4,0,6,0,254,254,254,254,254,254,254,254,255,254,255,252,0,27,0,0,5,0,9,0,27,0,0,255,254,254,254,254,254,254,254,254,243,251,252,10,32,0,4,6,10,0,15,0,6,0,13,248,255,255,255,255,255,255,255,255,255,252,0,19,0,22,0,4,6,5,18,14,4,5,0,0,255,255,255,255,255,255,255,255,255,4,3,9,0,20,4,2,0,17,0,0,9,0,15,6,0,0,0,0,0,0,0,0,253,9,0,0,0,0,0,2,0,7,7,11,10,0,0,8,0,0,0,0,0,0,0,0,246,2,6,1,14,8,6,0,2,0,11,3,0,10,10,0,0,0,0,0,0,0,0,0,255,2,0,16,0,0,0,3,6,9,0,4,6,0,4,8,0,0,0,0,0,0,0,0,255,0,5,13,8,0,15,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,243,6,2,0,7,6,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,0,0,8,17,0,0,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,5,5,7,0,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,7,0,5,0,3,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,245,242,255,255,245,255,253,255,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,255,255,231,237,252,255,245,247,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,235,255,239,255,253,241,255,255,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,1
255,255,255,255,255,255,255,255,255,245,252,255,255,239,255,240,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,251,244,255,251,254,255,248,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,253,255,244,255,255,255,238,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,240,255,245,255,242,243,241,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,226,255,250,241,255,241,252,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,241,255,0,0,255,255,249,234,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,251,2,0,14,0,2,229,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,1,0,2,16,0,255,237,255,255,255,255,255,255,255,255,255,255,251,246,242,255,255,0,11,1,16,0,24,0,16,245,255,255,255,255,255,255,255,255,250,249,230,255,251,255,0,15,0,0,15,2,10,0,3,255,255,255,255,255,255,255,255,255,245,255,240,255,243,10,1,0,8,0,26,0,0,20,0,245,255,255,255,255,255,255,255,255,255,219,255,255,4,10,0,1,2,13,4,4,0,14,252,255,255,255,255,255,255,255,255,255,253,255,255,0,32,0,3,20,6,0,0,3,9,0,247,252,255,255,255,255,255,255,255,255,250,255,230,0,19,10,2,0,3,1,11,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,252,7,13,0,20,1,3,3,0,29,0,239,255,231,255,255,255,255,255,255,255,255,246,254,255,0,0,15,0,0,2,0,15,0,255,255,253,255,255,255,255,255,255,255,255,255,255,242,2,0,30,0,19,0,0,15,0,0,247,255,255,253,255,255,255,255,255,255,255,255,249,255,0,0,0,6,0,2,18,1,4,246,255,239,245,250,255,255,255,255,255,255,255,255,246,241,0,6,0,12,0,6,17,0,25,232,254,245,255,255,255,255,255,255,255,255,255,255,254,241,12,2,8,11,7,10,0,35,247,239,255,240,243,253,255,255,255,255,255,255,255,255,255,255,0,4,0,3,0,0,11,0,255,249,238,255,244,255,255,255,255,255,255,255,255,255,241,0,6,9,11,0,0,11,17,0,252,255,243,255,252,249,255,255,255,255,255,255,255,255,255,255,0,18,0,17,0,4,0,10,255,233,249,249,251,246,255,255,255,255,255,255,255,255,244,255,2,0,5,0,4,0,3,0,255,255,241,255,248,255,255,255,255,255,255,255,255,255,2
254,255,250,255,250,239,255,252,248,255,255,255,255,236,244,255,255,255,255,255,255,255,255,255,246,255,252,251,231,255,252,249,255,252,246,255,246,252,255,244,255,255,255,255,255,255,255,255,255,252,245,255,241,255,229,255,245,255,234,252,255,252,253,255,255,255,255,255,255,255,255,255,240,255,252,253,255,239,247,255,255,243,255,241,245,254,239,255,255,255,255,255,255,255,255,255,255,253,249,255,240,16,10,0,5,0,251,255,243,255,255,255,255,255,255,255,255,255,255,255,243,255,255,243,255,0,28,0,0,5,0,255,248,238,238,245,255,255,255,255,255,255,255,255,255,250,249,255,255,0,6,2,15,0,3,0,234,255,250,255,255,255,255,255,255,255,255,255,248,251,251,250,246,16,0,0,0,15,6,0,255,239,255,247,255,255,255,255,255,255,255,255,255,251,248,255,251,10,0,13,0,7,14,0,255,255,253,255,255,255,255,255,255,255,255,255,246,248,253,255,238,2,5,0,9,0,21,15,240,243,249,255,255,255,255,255,255,255,255,255,243,255,253,255,236,0,21,19,3,11,0,0,249,255,228,254,255,255,255,255,255,255,255,255,253,255,229,253,255,1,0,0,0,3,1,0,255,253,255,245,255,255,255,255,255,255,255,255,247,255,243,255,247,0,6,8,11,3,10,255,240,244,245,255,255,255,255,255,255,255,255,255,249,245,255,255,229,3,10,0,0,245,249,245,255,253,251,247,255,255,255,255,255,255,255,255,255,235,243,251,255,17,0,15,242,255,250,248,255,252,255,248,255,255,255,255,255,255,255,255,249,255,255,245,255,0,21,242,255,222,255,255,255,243,248,251,255,255,255,255,255,255,255,255,255,253,252,255,255,0,5,241,255,255,255,255,255,255,255,255,253,255,249,255,245,255,237,255,238,255,253,255,250,0,255,251,255,255,255,255,255,255,255,255,245,255,231,255,255,252,248,231,255,247,250,248,255,1,230,255,255,255,255,255,255,255,255,255,255,231,251,241,239,255,253,255,255,243,253,255,254,7,254,241,255,255,255,255,255,255,255,255,255,238,255,234,255,251,250,254,255,232,255,222,255,0,255,255,255,255,255,255,255,255,255,255,255,241,241,249,255,13,3,0,244,255,249,255,238,8,255,249,255,255,255,255,255,255,255,255,241,255,252,255,0,0,14,0,255,254,242,255,242,16,2,255,255,255,255,255,255,255,255,255,255,255,254,11,0,8,0,10,246,255,255,252,248,13,0,255,255,255,255,255,255,255,255,255,250,252,250,0,2,5,11,0,3
251,243,253,252,253,254,237,255,252,252,255,248,255,249,255,255,255,239,255,246,253,241,255,248,255,255,255,250,255,252,255,238,255,249,253,255,245,255,244,241,252,255,248,255,246,255,249,255,240,247,255,253,240,255,245,255,255,240,255,235,245,255,242,255,252,255,231,255,233,255,238,251,255,245,243,251,251,250,252,255,250,255,250,251,255,215,255,233,239,253,253,237,255,243,245,255,246,255,253,255,255,206,255,240,245,241,247,255,237,253,254,251,255,255,255,255,0,0,0,0,238,249,252,255,233,255,247,249,255,244,253,253,4,22,0,2,6,0,0,0,0,10,2,0,255,240,234,255,248,248,248,255,248,255,0,9,0,0,0,5,0,11,6,0,14,1,0,16,236,255,255,242,255,3,255,251,0,0,7,3,0,0,2,0,4,0,0,2,0,0,5,0,252,245,247,255,255,0,250,9,0,21,0,20,11,0,14,2,5,0,13,0,0,3,0,0,255,250,255,219,251,2,22,0,24,0,8,0,0,0,255,251,255,255,238,248,0,0,20,0,246,255,244,252,254,13,0,16,0,9,0,12,255,239,255,236,242,249,255,231,255,13,0,0,243,255,226,255,237,0,22,0,0,6,246,255,240,255,221,255,255,250,249,255,255,0,23,0,252,255,250,244,241,9,0,0,9,232,251,246,238,255,252,247,249,255,248,255,253,0,12,6,255,237,255,249,255,12,1,5,247,255,251,255,249,246,255,245,248,255,250,250,225,255,7,0,255,241,242,255,247,0,8,0,250,249,247,255,255,237,251,255,255,240,254,255,254,255,0,15,252,255,254,248,243,24,0,17,254,255,255,249,241,255,240,245,254,255,249,238,255,0,23,3,252,255,254,254,255,0,4,0,251,252,249,250,240,255,236,255,234,255,255,251,239,11,0,2,252,255,254,254,255,0,4,0,255,250,255,242,255,242,255,241,255,249,249,255,255,1,10,0,252,255,254,254,255,0,4,0,255,249,255,246,236,255,247,255,240,255,253,241,255,0,1,17,252,255,254,254,255,0,4,0,246,255,231,255,231,240,255,254,240,255,252,252,247,255,0,4,252,255,254,254,255,0,4,0,251,249,255,248,255,245,248,243,255,242,244,255,244,249,31,0,252,255,254,254,255,0,4,0,255,232,227,255,254,242,255,249,237,255,235,248,255,237,3,5,252,255,254,254,255,0,4,0,0,255,250,251,255,240,255,245,246,252,255,244,246,243,255,0,252,255,254,254,255,0,4,0,4,0,239,255,231,255,236,255,255,241,249,253,255,248,244,5,6
240,255,255,255,249,248,255,240,255,254,255,245,255,239,255,252,254,254,254,254,254,254,254,254,249,255,249,248,255,251,251,255,252,255,238,244,250,255,247,255,254,254,254,254,254,254,254,254,254,246,247,247,255,255,234,232,251,255,230,255,245,252,253,254,255,255,255,255,255,255,255,255,249,245,255,254,232,253,255,255,249,237,255,243,245,255,248,250,255,255,255,255,255,255,255,255,255,248,254,250,249,255,251,247,255,246,247,255,243,1,16,1,0,0,0,0,0,0,0,0,253,255,235,246,255,248,243,252,239,255,0,6,0,10,0,0,0,0,0,0,0,0,0,0,240,255,250,255,239,234,255,237,248,3,11,10,0,5,10,20,0,0,0,0,0,0,0,0,255,249,234,255,246,255,235,12,5,0,0,1,5,0,3,0,0,0,0,0,0,0,0,0,255,237,240,255,251,250,2,2,2,26,0,7,0,3,0,0,5,1,6,1,6,10,0,7,225,255,255,240,255,1,8,0,9,0,4,10,0,3,14,10,0,6,0,2,0,0,11,0,255,255,251,234,255,0,6,2,0,0,5,7,10,0,15,0,0,248,255,220,255,255,243,237,255,242,252,246,245,37,0,14,4,7,6,0,19,7,243,255,255,253,246,255,233,228,255,241,241,255,255,251,253,0,5,0,4,6,0,27,0,255,239,243,250,248,255,255,251,254,255,255,255,255,249,250,255,0,14,0,0,6,0,9,255,239,248,255,252,253,255,250,255,255,241,255,246,240,248,254,241,0,0,16,10,4,2,242,255,250,255,246,255,251,240,250,253,245,250,251,253,255,250,252,255,0,20,0,0,5,0,255,246,248,255,255,230,255,240,255,255,244,255,246,252,255,254,254,255,0,4,0,10,0,4,255,248,255,252,255,255,255,255,255,255,255,255,255,252,255,254,254,255,0,4,0,6,0,255,231,254,255,244,253,255,255,255,255,255,255,255,255,252,255,254,254,255,0,4,0,0,0,227,255,246,247,243,255,255,255,255,255,255,255,255,255,252,255,254,254,255,0,4,0,14,9,247,255,239,252,251,255,255,255,255,255,255,255,255,255,252,255,254,254,255,0,4,0,0,7,226,255,246,255,251,250,255,255,255,255,255,255,255,255,252,255,254,254,255,0,4,0,1,2,255,235,254,255,249,253,255,255,255,255,255,255,255,255,252,255,254,254,255,0,4,0,0,2,14,255,254,243,251,255,255,255,255,255,255,255,255,255,252,255,254,254,255,0,4,0,1,13,0,255,255,255,254,255,255,255,255,255,255,255,255,255,9
251,255,240,250,255,238,255,233,255,252,255,252,250,255,255,255,255,234,255,251,250,247,253,255,251,249,252,255,255,255,240,255,247,230,253,252,243,255,253,250,236,255,238,255,255,255,255,247,255,255,245,255,240,255,251,251,235,255,232,246,255,233,250,247,254,255,253,246,251,252,254,255,245,254,246,255,255,249,255,250,247,248,253,255,247,247,255,255,255,239,254,247,254,252,245,253,255,242,255,227,255,249,235,254,255,223,30,0,19,0,19,4,252,250,255,233,252,255,255,255,254,251,242,255,231,255,255,0,15,0,3,7,7,14,6,0,0,255,238,255,245,255,243,255,251,241,255,254,253,251,3,13,0,18,0,0,3,0,2,9,8,0,251,231,255,244,245,255,248,255,223,255,248,255,0,8,13,0,12,7,0,10,0,0,1,241,255,254,240,255,250,254,255,238,255,218,255,0,6,3,0,10,0,3,4,0,6,0,254,254,254,254,254,254,254,254,255,254,255,252,0,27,0,0,5,0,9,0,27,0,0,255,254,254,254,254,254,254,254,254,243,251,252,10,32,0,4,6,10,0,15,0,6,0,13,248,255,255,255,255,255,255,255,255,255,252,0,19,0,22,0,4,6,5,18,14,4,5,0,0,255,255,255,255,255,255,255,255,255,4,3,9,0,20,4,2,0,17,0,0,9,0,15,6,0,0,0,0,0,0,0,0,253,9,0,0,0,0,0,2,0,7,7,11,10,0,0,8,0,0,0,0,0,0,0,0,246,2,6,1,14,8,6,0,2,0,11,3,0,10,10,0,0,0,0,0,0,0,0,0,255,2,0,16,0,0,0,3,6,9,0,4,6,0,4,8,0,0,0,0,0,0,0,0,255,0,5,13,8,0,15,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,243,6,2,0,7,6,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,0,0,8,17,0,0,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,5,5,7,0,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,7,0,5,0,3,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,245,242,255,255,245,255,253,255,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,255,255,231,237,252,255,245,247,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,235,255,239,255,253,241,255,255,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,1
255,255,255,255,255,255,255,255,251,255,247,255,253,249,255,241,248,247,255,245,255,235,255,243,255,255,255,255,255,255,255,255,249,255,239,255,237,255,241,255,255,255,248,255,244,254,249,255,255,255,255,255,255,255,255,255,244,255,234,254,244,254,255,239,242,239,255,255,250,255,245,255,255,255,255,255,255,255,255,255,252,242,255,255,238,255,237,253,255,244,255,242,239,255,232,241,255,255,255,255,255,255,255,255,248,251,242,238,248,251,255,255,251,0,0,0,255,223,255,252,255,255,255,255,255,255,255,255,255,229,255,255,10,13,4,0,20,0,11,2,15,7,0,7,255,255,255,255,255,255,255,255,239,247,255,0,0,20,0,9,0,14,0,5,0,15,0,0,255,255,255,255,255,255,255,255,255,255,0,3,16,0,9,1,7,2,0,8,10,0,2,3,241,254,255,251,243,255,239,255,255,0,0,10,8,2,13,0,0,5,1,1,1,0,5,9,255,230,252,248,239,253,240,254,0,16,23,2,0,13,0,2,255,223,255,229,255,240,13,0,237,255,238,248,255,247,255,249,5,6,0,4,18,3,241,255,239,255,239,247,255,245,255,255,255,0,254,255,244,255,247,6,6,0,7,30,240,255,255,247,255,252,254,255,254,255,255,245,255,2,255,247,244,244,0,0,2,3,23,0,255,243,231,255,255,250,255,230,249,255,207,255,251,0,254,243,255,255,10,3,0,6,0,249,255,247,255,255,233,255,240,255,255,246,255,251,254,0,255,255,255,238,9,5,19,0,6,254,246,255,242,250,255,244,251,255,235,239,255,250,255,2,246,252,253,0,1,1,0,12,0,255,245,255,255,247,250,255,248,244,255,253,247,255,239,16,239,255,253,10,1,0,11,0,0,253,255,250,255,255,252,255,255,255,253,247,255,255,255,0,255,248,231,20,0,9,0,19,15,238,251,255,255,245,255,250,246,242,255,255,237,238,246,14,255,237,255,0,18,4,20,9,2,251,255,248,253,250,254,255,255,245,255,255,247,255,254,0,251,255,255,248,0,17,0,0,0,255,251,253,250,252,251,255,255,254,250,245,247,253,255,250,255,247,250,246,17,0,10,2,3,249,239,255,232,255,255,253,237,255,255,252,255,238,247,255,249,255,251,250,255,0,4,0,6,7,239,241,254,252,242,249,250,255,252,243,255,243,242,250,226,255,236,252,243,9,7,0,0,0,29,237,255,244,255,255,255,234,247,255,230,255,255,248,255,234,255,255,252,255,3,12,0,9,0,7,0,253,251,233,255,232,255,226,22,0,8
